,Unnamed: 0.1,Unnamed: 0,Rank,Name,Rating,Medium,Sub Medium,Status,Genre,episodes/chapter?,Story Completed,Reviewed?
147,147,147,100.0,Kaguya Sama,1550.0,Comic,Manga,Dropped,,,YES,NO
148,148,148,,Onanie Master Kurosawa,1500.0,Comic,Manga,Completed,,,YES,NO
149,149,149,,Tengen Toppa Gurren Lagann,1450.0,TV Seires,Anime,Completed,,,YES,NO
150,150,150,,Gintama,1500.0,TV Seires,Anime,Completed,,,YES,NO
151,151,151,,Gamers!,1500.0,TV Seires,Anime,Completed,,,YES,NO
152,152,152,,Ansatsu Kyoushitsu,1500.0,TV Seires,Anime,Completed,,,YES,NO
153,153,153,,The advanced player,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
154,154,154,,Stalker X Stalker,1450.0,Comic,Manhwa/Webtoon,Reading/Watching,,,NO,NO
155,155,155,,Brain anthology,1450.0,Comic,Manhwa/Webtoon,On Hold,,,YES,NO
156,156,156,,Back to you,1500.0,Comic,Manhwa/Webtoon,Reading/Watching,,,NO,NO
157,157,157,,Spy X Family,1500.0,Comic,Manga,On Hold,,,NO,NO
158,158,158,,Horimiya,1500.0,Comic,Manga,On Hold,,,NO,NO
159,159,159,,Grand Blue,1541.024210838866,Comic,Manga,On Hold,,,NO,NO
160,160,160,,Solo Leveling,1500.0,Comic,Manhwa/Webtoon,Reading/Watching,,,NO,NO
161,161,161,,Sacred Games,1500.0,TV Seires,Indian,Completed,,,YES,NO
162,162,162,,It's mine,1407.1463117408382,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
163,163,163,,Gost Teller,1550.0,Comic,Manhwa/Webtoon,On Hold,,,YES,NO
164,164,164,,Immature,1500.0,TV Seires,Indian,Completed,,,YES,NO
165,165,165,,JOJO,1500.0,TV Seires,Anime,On Hold,,,NO,NO
166,166,166,,Dragon Ball Z,1500.0,TV Seires,Anime,Dropped,,,YES,NO
167,167,167,,Road to Ninja: Naruto the Movie,1500.0,Movie,Anime,Completed,,,YES,NO
168,168,168,,Naruto Shippuden the Movie: The Will of Fire,1500.0,Movie,Anime,Completed,,,YES,NO
169,169,169,,Lucario and the Mystery of Mew,1500.0,Movie,Anime,Completed,,,YES,NO
170,170,170,,Konosuba : movie,1500.0,Movie,Anime,Completed,,,YES,NO
171,171,171,,Bunny girl Senpai : Movie,1500.0,Movie,Anime,Completed,,,YES,NO
172,172,172,,Captain Marvel,1500.0,Movie,American,Completed,,,YES,NO
173,173,173,,Thor: Ragnarok,1500.0,Movie,American,Completed,,,YES,NO
174,174,174,,Captain America: The Winter Soldier,1500.0,Movie,American,Completed,,,YES,NO
175,175,175,,Zodiac,1500.0,Movie,American,Completed,,,YES,NO
176,176,176,,Get Out,1500.0,Movie,American,Completed,,,YES,NO
177,177,177,,The Gamer,1500.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
178,178,178,,Eleceed,1500.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
179,179,179,,Annarasumanara,1500.0,Comic,Manhwa/Webtoon,Completed,,,YES,NO
180,180,180,,Angel Densetsu,1450.0,Comic,Manga,Completed,,,YES,NO
181,181,181,,Bang Baaja Baarat,1500.0,TV Seires,Indian,Completed,,,YES,NO
182,182,182,,Noragami,1500.0,TV Seires,Anime,Completed,,,YES,NO
183,183,183,,Parasyte,1407.1463117408382,TV Seires,Anime,Completed,,,YES,NO
184,184,184,,Dragon Ball,1500.0,TV Seires,Anime,Dropped,,,YES,NO
185,185,185,,Kizumonogatari II,1500.0,Movie,Anime,Completed,,,YES,NO
186,186,186,,Black Panther,1500.0,Movie,American,Completed,,,YES,NO
187,187,187,,Zero Dark Thirty,1500.0,Movie,American,Completed,,,YES,NO
188,188,188,,Rise Of The Planet Of The Apes,1500.0,Movie,American,Completed,,,YES,NO
189,189,189,,One punch man,1500.0,Comic,Manga,Reading/Watching,,,NO,NO
190,190,190,,Haikyuu,1500.0,Comic,Manga,On Hold,,,NO,NO
191,191,191,,Goodnight Punpun,1500.0,Comic,Manga,On Hold,,,YES,NO
192,192,192,,Justice League: Synder Cut,1450.0,Movie,American,Completed,,,YES,NO
193,193,193,,Yeh Hai Meri Family,1500.0,TV Seires,Indian,Dropped,,,YES,NO
194,194,194,,Breathe Into The Shadows,1500.0,TV Seires,Indian,Completed,,,YES,NO
195,195,195,,Permanant Roomates,1500.0,TV Seires,Indian,Completed,,,YES,NO
196,196,196,,Kota Factory,1492.8536882591618,TV Seires,Indian,Completed,,,YES,NO
197,197,197,,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,1500.0,TV Seires,Anime,Completed,,,YES,NO
198,198,198,,Tokyo Ghoul,1500.0,TV Seires,Anime,Dropped,,,NO,NO
199,199,199,,Saiki Kusuo no Ψ-nan,1500.0,TV Seires,Anime,Completed,,,YES,NO
200,200,200,,Re:Zero,1500.0,TV Seires,Anime,On Hold,,,NO,NO
201,201,201,,Nekomonogatari: Kuro,1500.0,TV Seires,Anime,Completed,,,YES,NO
202,202,202,,One Punch Man,1500.0,TV Seires,Anime,Completed,,,NO,NO
203,203,203,,Nisemonogatari,1450.0,TV Seires,Anime,Completed,,,YES,NO
204,204,204,,No Game No Life,1500.0,TV Seires,Anime,Completed,,,YES,NO
205,205,205,,Mushishi,1500.0,TV Seires,Anime,On Hold,,,YES,NO
206,206,206,,Demon Slayer,1500.0,TV Seires,Anime,Completed,,,NO,NO
207,207,207,,Tower of God,1500.0,TV Seires,Anime,Completed,,,NO,NO
208,208,208,,Hellsing Ultimate,1500.0,TV Seires,Anime,Dropped,,,YES,NO
209,209,209,,Inazuma Eleven,1500.0,TV Seires,Anime,Completed,,,YES,NO
210,210,210,,Fullmetal Alchemist: Brotherhood,1500.0,TV Seires,Anime,Completed,,,YES,NO
211,211,211,,Durarara!!,1500.0,TV Seires,Anime,Dropped,,,YES,NO
212,212,212,,Dr. Stone,1500.0,TV Seires,Anime,Dropped,,,NO,NO
213,213,213,,Deadman Wonderland,1500.0,TV Seires,Anime,Completed,,,YES,NO
214,214,214,,Code Geass: Boukoku no Akito ,1500.0,TV Seires,Anime,Completed,,,YES,NO
215,215,215,,Boku no Hero Academia,1500.0,TV Seires,Anime,On Hold,,,NO,NO
216,216,216,,Bakemono no Ko,1500.0,TV Seires,Anime,Completed,,,YES,NO
217,217,217,,Bakemonogatari,1500.0,TV Seires,Anime,Completed,,,YES,NO
218,218,218,,I saw the devil,1500.0,Movie,South Korean,Completed,"Thiller, psychological",,YES,YES
219,219,219,,Naruto Shippuden the Movie: Blood Prison,1500.0,Movie,Anime,Completed,,,YES,NO
220,220,220,,The Last: Naruto the Movie,1500.0,Movie,Anime,Completed,,,YES,NO
221,221,221,,Naruto Shippuden the Movie: The Lost Tower,1500.0,Movie,Anime,Completed,,,YES,NO
222,222,222,,Naruto Shippuden the Movie: Bonds,1500.0,Movie,Anime,Completed,,,YES,NO
223,223,223,,Naruto The Movie 3: Guardians of the Crescent Moon Kingdom,1500.0,Movie,Anime,Completed,,,YES,NO
224,224,224,,Naruto the Movie: Ninja Clash in the Land of Snow,1500.0,Movie,Anime,Completed,,,YES,NO
225,225,225,,Naruto the Movie: Legend of the Stone of Gelel,1500.0,Movie,Anime,Completed,,,YES,NO
226,226,226,,Genesect and the Legend Awakened,1500.0,Movie,Anime,Completed,,,YES,NO
227,227,227,,Kyurem vs. the Sword of Justice,1500.0,Movie,Anime,Completed,,,YES,NO
228,228,228,,Diancie and the Cocoon of Destruction,1500.0,Movie,Anime,Completed,,,YES,NO
229,229,229,,Giratina & the Sky Warrior,1450.0,Movie,Anime,Completed,,,YES,NO
230,230,230,,Zoroark—Master of Illusions,1500.0,Movie,Anime,Completed,,,YES,NO
231,231,231,,Victini and Reshiram,1500.0,Movie,Anime,Completed,,,YES,NO
232,232,232,,Pokémon Ranger and the Temple of the Sea,1500.0,Movie,Anime,Completed,,,YES,NO
233,233,233,,Destiny Deoxys,1500.0,Movie,Anime,Completed,,,YES,NO
234,234,234,,Pokémon Heroes: Latios and Latias,1500.0,Movie,Anime,Completed,,,YES,NO
235,235,235,,Jirachi — Wish Maker,1500.0,Movie,Anime,Completed,,,YES,NO
236,236,236,,Pokémon 3: The Movie - Spell of the Unknown,1500.0,Movie,Anime,Completed,,,YES,NO
237,237,237,,Pokémon 4Ever: Celebi - Voice of the Forest,1500.0,Movie,Anime,Completed,,,YES,NO
238,238,238,,Bokuto in Exile,1500.0,Movie,Anime,Completed,,,YES,NO
239,239,239,,My hero academia: Movie,1500.0,Movie,Anime,Completed,,,YES,NO
240,240,240,,Kizumonogatari I,1500.0,Movie,Anime,Completed,,,YES,NO
241,241,241,,Haruhi Suzumia: Movie,1500.0,Movie,Anime,Completed,,,YES,NO
242,242,242,,Avengers: Endgame,1450.0,Movie,American,Completed,,,YES,NO
243,243,243,,Avengers: Infinity War,1500.0,Movie,American,Completed,,,YES,NO
244,244,244,,Guardians of the Galaxy Vol. 2,1500.0,Movie,American,Completed,,,YES,NO
245,245,245,,Guardians of the Galaxy,1550.0,Movie,American,Completed,,,YES,NO
246,246,246,,Marvel's The Avengers,1500.0,Movie,American,Completed,,,YES,NO
247,247,247,,Avengers: Age of Ultron,1500.0,Movie,American,Completed,,,YES,NO
248,248,248,,Iron Man,1500.0,Movie,American,Completed,,,YES,NO
249,249,249,,Iron Man 2,1500.0,Movie,American,Completed,,,YES,NO
250,250,250,,The Incredible Hulk,1500.0,Movie,American,Completed,,,YES,NO
251,251,251,,Thor,1550.0,Movie,American,Completed,,,YES,NO
252,252,252,,Captain America: The First Avenger,1500.0,Movie,American,Completed,,,YES,NO
253,253,253,,X-Men: Apocalypse,1500.0,Movie,American,Completed,,,YES,NO
254,254,254,,X-Men: Days of Future Past,1500.0,Movie,American,Completed,,,YES,NO
255,255,255,,X-Men: The Last Stand,1500.0,Movie,American,Completed,,,YES,NO
256,256,256,,X2,1500.0,Movie,American,Completed,,,YES,NO
257,257,257,,X-Men,1500.0,Movie,American,Completed,,,YES,NO
258,258,258,,Psycho,1500.0,Movie,American,Completed,,,YES,NO
259,259,259,,Doctor Strange,1500.0,Movie,American,Completed,,,YES,NO
260,260,260,,Your throne,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
261,261,261,,To Love your enemy,1500.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
262,262,262,,Toaster Dude,1500.0,Comic,Manhwa/Webtoon,Completed,,,YES,NO
263,263,263,,Wind Breaker,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
264,264,264,,Viral Hit,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
265,265,265,,Winter Moon,1500.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
266,266,266,,The remarried Empress,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
267,267,267,,The girl downstairs,1450.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
268,268,268,,The Masked fables,1500.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
269,269,269,,Rebirth,1450.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
270,270,270,,Omnicient Reader,1500.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
271,271,271,,Noblesse,1500.0,Comic,Manhwa/Webtoon,Completed,,,YES,NO
272,272,272,,Microhunter,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
273,273,273,,Lore Olympus,1500.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
274,274,274,,GOSU,1500.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
275,275,275,,Freaking Romance,1500.0,Comic,Manhwa/Webtoon,On Hold,,,YES,NO
276,276,276,,Immortal Weakling,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
277,277,277,,Code Adam,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
278,278,278,,Deor,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
279,279,279,,Flow,1500.0,Comic,Manhwa/Webtoon,Dropped,,,YES,NO
280,280,280,,Arma,1500.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
281,281,281,,Tokyo Ghoul Re,1500.0,Comic,Manga,Dropped,,,YES,NO
282,282,282,,Tokyo Ghoul,1500.0,Comic,Manga,Completed,,,YES,NO
283,283,283,,My hero academia / Boku no Hero Academia,1550.0,Comic,Manga,Dropped,,,NO,NO
284,284,284,,Dr Stone,1500.0,Comic,Manga,Dropped,,,NO,NO
285,285,285,,Deadman Wonderland,1500.0,Comic,Manga,Completed,,,YES,NO
286,286,286,,Justice League,1500.0,Movie,American,Completed,,,YES,NO
287,287,287,,No Game No Life: Zero,1500.0,Movie,Anime,Completed,,,YES,NO
288,288,288,,Highschool of the Dead,1500.0,TV Seires,Anime,Completed,,,YES,NO
289,289,289,,Arceus and the Jewel of Life,1500.0,Movie,Anime,Completed,,,YES,NO
290,290,290,,Ant-Man and the Wasp,1500.0,Movie,American,Completed,,,YES,NO
291,291,291,,Ant-Man,1500.0,Movie,American,Completed,,,YES,NO
292,292,292,,Iron Man 3,1500.0,Movie,American,Completed,,,YES,NO
293,293,293,,Thor: The Dark World,1500.0,Movie,American,Completed,,,YES,NO
294,294,294,,Back to the Future Part III,1450.0,Movie,American,Completed,,,YES,NO
295,295,295,,How to become a dragon,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
296,296,296,,Masamune-kun no Revenge,1500.0,Comic,Manga,Dropped,,,NO,NO
297,297,297,,Toradora!,1500.0,TV Seires,Anime,Completed,,,YES,NO
298,298,298,,Suzumiya Haruhi no Yuuutsu,1500.0,TV Seires,Anime,Completed,,,YES,NO
299,299,299,,Sakura-sou no Pet na Kanojo,1500.0,TV Seires,Anime,Dropped,,,YES,NO
300,300,300,,Pokemon,1500.0,TV Seires,Anime,Completed,,,YES,NO
301,301,301,,Orange,1500.0,TV Seires,Anime,Completed,,,YES,NO
302,302,302,,Nanatsu no Taizai,1500.0,TV Seires,Anime,Dropped,,,YES,NO
303,303,303,,Anohana,1500.0,TV Seires,Anime,Completed,,,YES,NO
304,304,304,,SubZero,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
305,305,305,,Mirai Nikki,1500.0,TV Seires,Anime,Completed,,,YES,NO
306,306,306,,Pokémon: The Movie 2000 - The Power of One,1395.9223789912985,Movie,Anime,Completed,,,YES,NO
307,307,307,,Pokémon: The First Movie - Mewtwo Strikes Back,1500.0,Movie,Anime,Completed,,,YES,NO
308,308,308,,Four Lions,1500.0,Movie,British,Completed,Black Comedy,,YES,
309,309,309,,Old Taxi ,1500.0,TV Seires,Anime,Completed,"Mystery, Neo-noir",,YES,
310,310,310,,"Shiguang Dailiren
Watch Promotional Video",1450.0,TV Seires,Anime,Completed,"Sci-Fi, Thiller",,,NO
311,311,311,,Kingdom,1500.0,Comic,Manga,Reading/Watching,,,NO,NO
312,312,312,,Daredevil,1500.0,TV Seires,American,Dropped,,,YES,YES
313,313,313,,Sahsiyet,1500.0,TV Seires,Turkey,Reading/Watching,,,YES,NO
314,314,314,,Sex House,1500.0,TV Seires,American,Completed,"Black Comedy, Horror, psychological",10/10,YES,NO
315,315,315,,Mr Robot,1500.0,TV Seires,American,,,,,
316,316,316,,Game of Thrones,1500.0,TV Seires,American,,,,,
317,317,317,,Person Of Interest,1500.0,TV Seires,American,,,,,
318,318,318,,Westwolrd,1500.0,TV Seires,American,,,,,
319,319,319,,The boys,1542.8536882591618,TV Seires,,,,,,
320,320,320,,Cobra Kai,1500.0,TV Seires,American,On Hold,Action,,NO,NO
321,321,321,,Laakhon Mein Ek,1500.0,TV Seires,Indian,On Hold,,,,
322,322,322,,Prison Break,1500.0,TV Seires,American,Completed,,,,
323,323,323,,The office,1500.0,TV Seires,American,On Hold,,,,
324,324,324,,It's Always Sunny in Philadelphia,1500.0,TV Seires,American,Reading/Watching,,,,NO
325,325,325,,Freinds,1500.0,TV Seires,American,Completed,,,,
326,326,326,,What we do in shadows,1500.0,TV Seires,American,On Hold,,,,
327,327,327,,How I met your Mother,1500.0,TV Seires,American,Completed,,,,
328,328,328,,Poison Pen,1500.0,Book,Fanfiction,On Hold,,,YES,NO
